course,discounted_price,original_price,category,summary,difficulty,total_materials,course_link
Basic Concept of Human Resources and Payroll Processing,$59.00,$500.00,HR & Payroll,Pelajari pengetahuan dasar mengenai MSDM dan proses penggajian,Basic,21 Materi Pembelajaran,https://univ.mekari.com/courses/basic-hr-payroll
Talenta Software for Advanced Payroll Automation and HR Solution,$200.00,"$1,500.00",Software Mekari,Kuasai software HRIS berbasis cloud untuk solusi pengelolaan administrasi HR dan otomasi payroll yang unggul dalam 7 hari dengan Talenta,Intermediate,32 Materi Pembelajaran,https://univ.mekari.com/courses/talenta-software-for-advance-payroll-automation-and-hr-solution
Jurnal Software for Comprehensive Bookkeeping and Accounting Process,$200.00,"$1,500.00",Software Mekari,Kuasai software akuntansi berbasis cloud untuk pembukuan komprehensif dan proses akuntansi yang lebih baik dalam 7 hari dengan Jurnal,Intermediate,71 Materi Pembelajaran,https://univ.mekari.com/courses/jurnal-software-for-comprehensive-bookeeping-and-accounting
Auditing: Konsep Dasar Audit Laporan Keuangan,$149.00,"$1,000.00",Akuntansi & Keuangan,Pahami konsep dasar audit dan aplikasinya untuk menilai kewajaran penyajian laporan keuangan,Intermediate,58 Materi Pembelajaran,https://univ.mekari.com/courses/auditing-konsep-dasar-audit-laporan-keuangan
Excel: Teknik Dasar untuk Analisis Data,$59.00,$500.00,Bisnis & Wirausaha,Kuasai fitur lengkap serta praktik dalam microsoft excel untuk proses pengolahan dan visualisasi data,Basic,21 Materi Pembelajaran,https://univ.mekari.com/courses/excel-teknik-dasar-untuk-analisis-data
Compensation and Benefit Management,$149.00,"$1,000.00",HR & Payroll,Tingkatkan produktivitas karyawan dengan penyusunan strategi kompensasi dan benefit yang tepat,Intermediate,67 Materi Pembelajaran,https://univ.mekari.com/courses/compensation-and-benefit-management
Basic Concept of Digital Marketing,$59.00,$500.00,Bisnis & Wirausaha,Pahami pemilihan taktik digital marketing yang efektif dan efisien untuk kelancaran bisnis,Basic,18 Materi Pembelajaran,https://univ.mekari.com/courses/basic-concept-of-digital-marketing
Panduan Lengkap SIPP Online: Cara Lapor BPJS Ketenagakerjaan,$49.00,$200.00,HR & Payroll,Kuasai penggunaan SIPP online untuk kemudahan pengelolaan data BPJS ketenagakerjaan bagi perusahaan Anda,Intermediate,14 Materi Pembelajaran,https://univ.mekari.com/courses/panduan-lengkap-sipp-online
Talent Management: The 9 Box Matrix,$49.00,$350.00,HR & Payroll,Kelola SDM di perusahaan lebih akurat dengan model pengukuran 9 box matrix dan HRIS Talenta,Basic,17 Materi Pembelajaran,https://univ.mekari.com/courses/talent-management-the-9boxmatrix
Online Shop Industry Bookkeeping with Jurnal Software,$49.00,$500.00,Software Mekari,Kelola keuangan dan operasional bisnis online shop lebih mudah dan efektif dengan software akuntansi Jurnal by Mekari,Basic,25 Materi Pembelajaran,https://univ.mekari.com/courses/online-shop-industry-bookkeeping-with-jurnal-software
F&B Industry Bookkeeping with Jurnal Software,$49.00,$500.00,Software Mekari,Kelola keuangan dan operasional bisnis F&B lebih efisien dan efektif dengan software akuntansi Jurnal by Mekari,Basic,28 Materi Pembelajaran,https://univ.mekari.com/courses/fnb-industry-bookkeeping-with-jurnal-software
Service Industry Bookkeeping with Jurnal Software,$49.00,$500.00,Software Mekari,Kelola keuangan dan operasional bisnis service/jasa lebih mudah dan efektif dengan software akuntansi Jurnal by Mekari,Basic,25 Materi Pembelajaran,https://univ.mekari.com/courses/service-industry-bookkeeping-with-jurnal-software
Manufacturing Industry Bookkeeping with Jurnal Software,$49.00,$500.00,Software Mekari,Kelola keuangan dan operasional bisnis manufaktur  lebih efisien dan efektif dengan software akuntansi Jurnal by Mekari,Basic,30 Materi Pembelajaran,https://univ.mekari.com/courses/manufacturing-industry-bookkeeping-with-jurnal-software
Customer Relationship Management 101,$99.00,"$1,000.00",Bisnis & Wirausaha,"Raih keunggulan dan tingkatkan profitabilitas perusahaan Anda melalui manajemen hubungan pelanggan (CRM) yang efektif
",Basic,56 Materi Pembelajaran,https://univ.mekari.com/courses/Customer-Relationship-Management101
Basic Concept of Marketing Management,$59.00,$500.00,Bisnis & Wirausaha,Pahami konsep dasar marketing dan kuasai penerapan strategi marketing yang tepat untuk kemajuan suatu perusahaan,Basic,18 Materi Pembelajaran,https://univ.mekari.com/courses/basic-concept-of-marketing-management
"Managerial Accounting: Cost Concept, Cost Behavior, and Cost Reporting",$149.00,"$1,000.00",Akuntansi & Keuangan,"Pahami konsep, perilaku, dan pelaporan biaya di perusahaan berbasis manufaktur agar manajemen bisa membuat keputusan bisnis yang lebih efektif",Basic,59 Materi Pembelajaran,https://univ.mekari.com/courses/managerial-accounting-cost-concept-cost-behavior-and-cost-reporting
Managerial Accounting: Job Order Costing,$59.00,$500.00,Akuntansi & Keuangan,Pahami dan kuasai penetapan biaya menggunakan metode job order costing bagi perusahaan dengan sistem made by order,Intermediate,24 Materi Pembelajaran,https://univ.mekari.com/courses/managerial-accounting-job-order-costing
Corporate Performance Management: Balanced Scorecard (BSC),Gratis,$500.00,Bisnis & Wirausaha,Pahami manajemen balanced scorecard untuk meningkatkan performa bisnis secara optimal,Basic,18 Materi Pembelajaran,https://univ.mekari.com/courses/corporate-performance-management-balanced-scorecard-bsc
"Qontak, Chat Omnichannel for Advanced Customer Service",$49.00,$500.00,Software Mekari,Tingkatkan hubungan bisnis dengan para Customer melalui Omnichannel CRM Qontak,Basic,54 Materi Pembelajaran,https://univ.mekari.com/courses/qontak-chat-omnichannel-for-advanced-customer-service
Time Management with Talenta Software,$49.00,$500.00,Software Mekari,"Kelola data kehadiran, cuti, lembur, hingga schedule karyawan lebih efektif dan efisien melalui Talenta agar produktivitas perusahaan semakin meningkat",Basic,33 Materi Pembelajaran,https://univ.mekari.com/courses/time-management-with-talenta-software
Corporate Internal Control,Gratis,$500.00,Bisnis & Wirausaha,Pahami penerapan pengendalian internal yang lengkap dan tepat untuk melindungi perusahaan Anda,Basic,16 Materi Pembelajaran,https://univ.mekari.com/courses/corporate-internal-control
Industrial Relation 101,Gratis,"$1,000.00",HR & Payroll,Pahami konsep dan praktek hubungan industrial untuk mencapai kondisi kesejahteraan bersama antara pekerja dan pengusaha,Intermediate,63 Materi Pembelajaran,https://univ.mekari.com/courses/industrial-relation-101
